ID,fullName,lastName,firstName,patronymic,wikiLink,birthDate,deathDate
1,Абчук Аврам Пінхусович,Абчук,Аврам,Пінхусович,https://uk.wikipedia.org/wiki/%D0%90%D0%B1%D1%87%D1%83%D0%BA_%D0%90%D0%B2%D1%80%D0%B0%D0%BC_%D0%9F%D1%96%D0%BD%D1%85%D1%83%D1%81%D0%BE%D0%B2%D0%B8%D1%87,,
2,Авдикович Орест Львович,Авдикович,Орест,Львович,https://uk.wikipedia.org/wiki/%D0%90%D0%B2%D0%B4%D0%B8%D0%BA%D0%BE%D0%B2%D0%B8%D1%87_%D0%9E%D1%80%D0%B5%D1%81%D1%82_%D0%9B%D1%8C%D0%B2%D0%BE%D0%B2%D0%B8%D1%87,,
3,Авдиковський Орест Арсенович,Авдиковський,Орест,Арсенович,https://uk.wikipedia.org/wiki/%D0%90%D0%B2%D0%B4%D0%B8%D0%BA%D0%BE%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9E%D1%80%D0%B5%D1%81%D1%82_%D0%90%D1%80%D1%81%D0%B5%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,,
4,Аврамчук Олександр Никифорович,Аврамчук,Олександр,Никифорович,https://uk.wikipedia.org/wiki/%D0%90%D0%B2%D1%80%D0%B0%D0%BC%D1%87%D1%83%D0%BA_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9D%D0%B8%D0%BA%D0%B8%D1%84%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,
5,Автомонов Павло Федорович,Автомонов,Павло,Федорович,https://uk.wikipedia.org/wiki/%D0%90%D0%B2%D1%82%D0%BE%D0%BC%D0%BE%D0%BD%D0%BE%D0%B2_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE_%D0%A4%D0%B5%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,
6,Аграновський Абрам Давидович,Аграновський,Абрам,Давидович,https://uk.wikipedia.org/wiki/%D0%90%D0%B3%D1%80%D0%B0%D0%BD%D0%BE%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%90%D0%B1%D1%80%D0%B0%D0%BC_%D0%94%D0%B0%D0%B2%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87,,
7,Акопов Валерій Федорович,Акопов,Валерій,Федорович,https://uk.wikipedia.org/wiki/%D0%90%D0%BA%D0%BE%D0%BF%D0%BE%D0%B2_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D1%96%D0%B9_%D0%A4%D0%B5%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,
8,Аксьонов Іван Олександрович,Аксьонов,Іван,Олександрович,https://uk.wikipedia.org/wiki/%D0%90%D0%BA%D1%81%D1%8C%D0%BE%D0%BD%D0%BE%D0%B2_%D0%86%D0%B2%D0%B0%D0%BD_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,
9,Александрович Митрофан Миколайович,Александрович,Митрофан,Миколайович,https://uk.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87_%D0%9C%D0%B8%D1%82%D1%80%D0%BE%D1%84%D0%B0%D0%BD_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,,
10,Алексєєв Євген Ростиславович,Алексєєв,Євген,Ростиславович,https://uk.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D1%94%D1%94%D0%B2_%D0%84%D0%B2%D0%B3%D0%B5%D0%BD_%D0%A0%D0%BE%D1%81%D1%82%D0%B8%D1%81%D0%BB%D0%B0%D0%B2%D0%BE%D0%B2%D0%B8%D1%87,,
